id,pub_date,year,headline,section,material,word_count,compound,pos,neg,neu,reform_idx,pathology_idx,frame_ratio,frame
nyt://article/4cdb533d-64a1-5f63-b07d-1906ca5b3388,1900-02-11,1900,"GOV. ROOSEVELT ON TENEMENT REFORM; Relieving Physical Conditions First Step in Political Progress. DEFINES THE STATE'S DUTY Club May Be Needed to Enforce Public Demands, He Declares, in Opening Exhibition.",Archives,Archives,0,0.6486,0.122,0.0,0.878,0.0,0.0,0.0,construction
nyt://article/25d5238e-825d-5ab4-bbc7-245839075474,1900-02-22,1900,THE TENEMENT EXHIBITION.; Need of More Libraries and Baths on the East Side Shown.,Archives,Archives,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,construction
nyt://article/5075419f-0421-53cf-b7e0-4b0b17d2a830,1900-03-24,1900,EAST SIDE FACTORY FIRE.(2); Building Flanked by Tenements Burned and Residents Forced to Flee.,Archives,Archives,0,-0.4588,0.0,0.188,0.812,0.0,0.0,0.0,construction
nyt://article/d4927541-267c-5ff4-82fe-2c848ac136a5,1900-03-24,1900,EAST SIDE FACTORY FIRE.; Building Flanked by Tenements Burned and Residents Forced to Flee.,Archives,Archives,0,-0.6597,0.0,0.31,0.69,0.0,0.0,0.0,construction
nyt://article/1c28595a-ec3f-58f0-bd81-c63a18ac4c59,1900-04-14,1900,FIRES MENAGE MANY LIVES; Two Victims of the Flames Will Probably Die. Bravery of Policemen Saves Women and Children from Suffocation in East Side Tenement Houses.,Archives,Archives,0,-0.4588,0.099,0.191,0.71,0.0,0.0,0.0,construction
nyt://article/6a322341-ca9c-5d43-8196-04a82a369b5c,1900-05-03,1900,DEFECTS OF TENEMENTS; Commission Makes a Tour of Inspection Among Them. Fresh Air Lacking and Fire Escapes Deficient -- Cherry Hill Answers Questions Readily.,Archives,Archives,0,-0.3182,0.106,0.142,0.752,0.0,0.0,0.0,construction
nyt://article/f83769f5-2793-51f5-96b3-b1d00a95d357,1900-05-05,1900,TENEMENT BOARD'S TOUR; East Side Houses Between Grand and Houston Streets Visited. Many Violations of Building and Health Laws Noted -- Wooden Rafters and Dark Rooms and Hallways.,Archives,Archives,0,-0.1027,0.076,0.086,0.838,0.0,0.0,0.0,reform
nyt://article/6b13b7c9-bda6-5166-aaf1-636565346575,1900-05-11,1900,"TENEMENT HOUSE COMMISSION.; Model Buildings, with Many Conven- iences, Visited and Approved.",Archives,Archives,0,0.4215,0.135,0.0,0.865,0.0,0.0,0.0,construction
nyt://article/d65637c8-7e39-557c-ad34-b0a2a83c5cae,1900-06-17,1900,"PANIC AT EAST SIDE FIRE.; Blaze in Kindling Wood Yard Endangers Tenements, Gas Tanks, and Hospital.",Archives,Archives,0,-0.6908,0.0,0.251,0.749,0.0,0.0,0.0,construction
nyt://article/1eee603b-2a0a-57cf-b475-af4d27b46629,1900-07-15,1900,INCENDIARY FIRES IN APARTMENT HOUSES.,Archives,Archives,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,construction
